noc_2016,noc_title,harm.rank06,harm.rank16,harm.rank21,Diff 21 - 06,Diff 21 - 16,Skill Type,,,,,
2242,Electronic service technicians (household and business equipment),64.46484464,35.02053835,38.31722116,-26.14762348,3.296682817,2,,,,,
2252,Industrial designers,36.98184615,16.99290685,12.66320067,-24.31864548,-4.329706181,2,,,,,
5241,Graphic designers and illustrators,69.54856502,45.83479374,45.23844427,-24.31012075,-0.596349467,2,,,,,
7232,Tool and die makers,64.68392735,36.03522601,40.66121251,-24.02271483,4.625986502,2,,,,,
112,Human resources managers,224.0904976,142.7467652,201.9683468,-22.12215081,59.22158161,1,,,,,
1415,Personnel clerks,169.2775348,177.1713746,147.4036769,-21.87385792,-29.76769766,4,,,,,
2272,Air traffic controllers and related occupations,88.56925246,76.51684128,66.91990227,-21.64935019,-9.596939006,2,,,,,
6341,Hairstylists and barbers,414.4554856,306.1471114,392.8186775,-21.6368081,86.67156605,3,,,,,
1423,Desktop publishing operators and related occupations,67.60256835,33.77433054,46.86943118,-20.73313717,13.09510064,4,,,,,
2233,Industrial engineering and manufacturing technologists and technicians,44.75808569,25.46955768,24.33361788,-20.42446781,-1.135939793,2,,,,,
1242,Legal administrative assistants,163.795733,165.0641575,143.4141545,-20.38157856,-21.65000301,2,,,,,
7531,Railway yard and track maintenance workers,216.8496767,183.4665725,196.7789111,-20.0707656,13.31233855,5,,,,,
2221,Biological technologists and technicians,141.2235441,93.91851177,121.7431811,-19.48036302,27.82466928,2,,,,,
6522,Pursers and flight attendants,279.7942163,348.1632931,261.4489398,-18.34527657,-86.7143533,5,,,,,
7233,Sheet metal workers,167.8296457,143.3017735,150.0942318,-17.73541394,6.792458254,2,,,,,
4311,Police officers (except commissioned),88.64957857,61.76548765,71.51028033,-17.13929824,9.744792673,3,,,,,
7331,Oil and solid fuel heating mechanics,116.8991528,111.9247588,99.83481619,-17.06433663,-12.08994262,3,,,,,
2225,Landscape and horticulture technicians and specialists,403.0087242,357.0539776,386.1018541,-16.9068701,29.04787651,2,,,,,
2255,Technical occupations in geomatics and meteorology,43.80780233,23.04494795,27.20530115,-16.60250118,4.160353198,2,,,,,
15,"Senior managers - trade, broadcasting and other services, n.e.c.",202.2854514,174.042532,186.6216598,-15.66379152,12.57912784,5,,,,,
7622,Railway and motor transport labourers,290.8901279,297.4986121,275.4957356,-15.39439235,-22.00287655,6,,,,,
4164,"Social policy researchers, consultants and program officers",121.4539328,71.33204109,106.2062579,-15.2476749,34.87421676,1,,,,,
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",127.4374728,103.550855,112.202794,-15.23467885,8.651939021,2,,,,,
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",179.2658247,169.2716974,164.0487471,-15.21707762,-5.222950326,2,,,,,
6711,"Food counter attendants, kitchen helpers and related support occupations",400.4956509,402.0966422,385.334629,-15.16102187,-16.76201325,7,,,,,
1123,"Professional occupations in advertising, marketing and public relations",134.9679166,66.75990918,119.879541,-15.08837559,53.11963185,1,,,,,
1254,Statistical officers and related research support occupations,49.8037818,24.82459891,34.90046335,-14.90331846,10.07586444,2,,,,,
2241,Electrical and electronics engineering technologists and technicians,41.11433649,21.63208443,26.32667789,-14.7876586,4.694593467,2,,,,,
2153,Urban and land use planners,162.7311048,157.8627937,149.3766359,-13.3544689,-8.486157775,1,,,,,
6411,Sales and account representatives - wholesale trade (non-technical),183.8090835,261.2896359,170.6488988,-13.16018467,-90.64073708,4,,,,,
5123,Journalists,89.63255877,146.6924539,76.9198818,-12.71267698,-69.7725721,1,,,,,
2232,Mechanical engineering technologists and technicians,49.91317185,47.04177252,38.74122961,-11.17194224,-8.300542912,2,,,,,
9413,Glass forming and finishing machine operators and glass cutters,285.1181114,225.5572193,274.854887,-10.26322438,49.29766775,4,,,,,
7282,Concrete finishers,336.8294672,274.2595527,326.7331429,-10.09632434,52.47359019,2,,,,,
6321,Chefs,194.0437259,265.9758515,184.3556791,-9.688046754,-81.62017244,3,,,,,
2154,Land surveyors,43.81248047,27.3760947,34.22648223,-9.585998242,6.850387526,1,,,,,
7231,Machinists and machining and tooling inspectors,139.5473527,90.03992502,130.6624464,-8.884906321,40.62252136,2,,,,,
7316,Machine fitters,139.5473527,90.03992502,130.6624464,-8.884906321,40.62252136,3,,,,,
9473,Binding and finishing machine operators,276.8590668,244.4338277,268.2056921,-8.653374724,23.77186441,4,,,,,
2281,Computer network technicians,15.6223176,7.537965946,7.324460762,-8.297856835,-0.213505184,2,,,,,
3131,Pharmacists,171.7751255,147.3843344,164.3937601,-7.381365385,17.00942567,1,,,,,
2142,Metallurgical and materials engineers,32.31763753,22.49257793,24.94562881,-7.37200872,2.453050874,1,,,,,
3413,"Nurse aides, orderlies and patient service associates",364.3788295,344.3631751,357.4509763,-6.927853209,13.08780116,4,,,,,
4411,Home child care providers,414.3114043,367.9779131,407.387561,-6.923843389,39.40964785,4,,,,,
1524,Purchasing and inventory control workers,222.6352123,190.0405751,215.8369889,-6.798223347,25.79641379,5,,,,,
132,Postal and courier services managers,118.645513,100.9560518,111.9369434,-6.708569593,10.9808916,3,,,,,
1214,"Supervisors, mail and message distribution occupations",118.645513,100.9560518,111.9369434,-6.708569593,10.9808916,2,,,,,
