"","PC1","PC2","PC3","PC4","PC5"
"2.C.3 Design",-0.0240755523051997,0.149131452555107,0.0924709773741267,0.114357564806812,-0.0233870140437532
"2.C.3 Engineering and Technology",-0.0348165645010801,0.182473003505961,0.0947380070679124,0.0565946089810112,-0.0785787756685982
"2.C.3 Mechanical",0.0310637537846765,0.205066020668877,-0.0636659681262302,0.0248991077281253,-0.000654958377762178
"2.C.4 Biology",-0.0548663727377726,0.0269684141629091,-0.0758059542177928,-0.171019961428872,-0.0631289342126675
"2.C.4 Chemistry",-0.0259482320649129,0.130987788388438,-0.0425234039421891,-0.116185803500147,-0.0574350538791118
"2.C.4 Geography",-0.053173398015927,0.0227455555315171,0.0417884944165552,-0.029031411807236,-0.0427470953042213
"2.C.4 Mathematics",-0.0874249106397867,0.0972280737514079,0.12250329090659,0.0989395793263887,-0.092308625850632
"2.C.4 Physics",-0.0337121158490132,0.16464174091158,0.0510774098510151,-0.0533673430023963,-0.0988318698353502
"2.C.4 Psychology",-0.103713817151998,-0.0659908171971728,-0.162282564541749,-0.148088058686394,0.00512027380943982
"2.C.4 Sociology and Anthropology",-0.100259888856176,-0.0904070396104792,-0.103378666849742,-0.151951896203889,0.0246187096513566
"2.C.5 Medicine and Dentistry",-0.0507253128956507,-0.0241368302203193,-0.12886625289476,-0.200255040459183,-0.0896416757406955
"2.C.5 Therapy and Counseling",-0.0779093287114522,-0.069798104081962,-0.152990928798993,-0.185202103258788,-0.0105263749508449
"2.C.6 Education and Training",-0.114478869007977,0.0136332759268908,-0.109204769047135,-0.0983255842090861,0.0299198328389066
"2.C.7 English Language",-0.126124318702099,-0.0703920183336766,0.0872815994395022,-0.0654146244977911,-0.0441760292208165
"2.C.7 Fine Arts",-0.0141060116567134,-0.0442020328639144,0.0270850164248499,-0.0156355377741208,0.158188970924211
"2.C.7 Foreign Language",-0.0440853570717598,-0.0390527390533676,-0.0469036271519987,-0.0739266936098087,-0.0174772965283387
"2.C.7 History and Archeology",-0.0652712271493825,-0.0494513309560118,0.0188730805227145,-0.0882184079162602,0.0526865634902946
"2.C.7 Philosophy and Theology",-0.0911690614342374,-0.086876157203781,-0.110209607093324,-0.159090711181682,0.0529685354606472
"2.C.8 Law and Government",-0.10285355216691,-0.0217754514946117,-0.0184247960354613,0.000116750645249356,-0.109871164520421
"2.C.8 Public Safety and Security",-0.0434014176706311,0.0752267572263078,-0.16094062934744,-0.0214750091903977,-0.110477433480671
"2.C.9 Communications and Media",-0.0976976138612599,-0.0570014745906268,0.0747040018625508,-0.0328865341516786,0.0259683505030786
"2.C.9 Telecommunications",-0.0479019987742947,0.0537605051543513,0.0624809747976509,-0.0225444483657291,-0.0816468969307233
"4.A.1 Estimating the Quantifiable Characteristics of Products, Events, or Information",-0.0602849396265778,0.147833355132808,0.0110073051590475,0.0577617145726297,-0.140147393425063
"4.A.1 Getting Information",-0.133328990939265,-0.0301415812010543,0.0592161842839005,-0.0331431262120729,-0.154926275521532
"4.A.1 Identifying Objects, Actions, and Events",-0.100472190478888,0.0362367394894293,-0.029553229730862,-0.164314641949304,-0.179286984448711
"4.A.1 Inspecting Equipment, Structures, or Material",0.0406133889852371,0.182526633197275,-0.141568448663002,-0.0475187083379667,-0.103277038471023
"4.A.1 Monitor Processes, Materials, or Surroundings",-0.0608029918199073,0.124048111931509,-0.117398851564724,-0.126695543066837,-0.154602903516652
"4.A.2 Analyzing Data or Information",-0.128151591348817,0.0353852922747991,0.107246822475131,-0.0106541140948264,-0.177521099969164
"4.A.2 Developing Objectives and Strategies",-0.139590894442356,0.0130253664976736,-0.0566862579226028,0.042880868768371,-0.0272215049698223
"4.A.2 Evaluating Information to Determine Compliance with Standards",-0.1018772925157,0.0535883494137499,-0.00796999961546663,-0.0255764714426961,-0.207903684011575
