"noc_2006","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
7271,2.86635555555556,10.0152888888889,1.50341111111111,7.859,1.16266666666667,1.8126,115,280,410,443,81,326,186.8112693511,353.914489824868,172.05856488138,0,NA,NA,"7271",""
7272,5.12196666666667,12.2399333333333,0.400933333333333,9.77912222222222,2.13628888888889,5.36391111111111,56,149,335,333,69,460,128.656965831575,270.159531953545,112.444343568407,0,NA,NA,"7272",""
7281,1.22484444444444,5.38426666666667,0.460111111111111,6.78831111111111,0.747755555555556,0.7084,141,363,449,472,190,455,278.364431515098,431.191424798894,258.244514358852,0,NA,NA,"7281",""
7282,0.7242,5.7021,1.2027,3.5948,0,1.7056,320,477,468,446,179,372,336.829467192878,437.524365402359,330.421151324698,0,NA,NA,"7282",""
7283,1.6354,5.40528888888889,1.89875555555556,5.9204,0.8618,1.50196666666667,186,335,441,453,189,275,276.813838044271,361.517689456962,276.977181934164,0,NA,NA,"7283",""
7284,0.420444444444445,2.60515555555556,0.867155555555555,7.37831111111111,1.94747777777778,2.70013333333333,120,161,475,409,294,415,242.220251821295,304.958230797347,223.543637835699,0,NA,NA,"7284",""
7291,2.5404,6.2238,1.855,8.9096,0.4636,1.1544,86,422.5,422,464,164,282,214.559225531465,384.266300060159,204.660212495367,0,NA,NA,"7291",""
7292,1.5476,6.37,1.0725,3.6166,0.1404,0.6732,317,466.5,445,473,161,385,326.103585851085,440.452568202582,316.287780719371,0,NA,NA,"7292",""
7293,2.629475,6.448,1.08675,4.213025,0.8568,1.158475,275,336,418,463,160,384,300.888562490972,395.782192453429,288.291864742579,0,NA,NA,"7293",""
7294,3.636,3.25135555555556,0.765,3.35242222222222,0.696066666666667,1.1692,330,371,392,460,256,424,359.991968612825,410.052860919166,349.305994470579,0,NA,NA,"7294",""
7295,0.700325,4.366,0.56475,3.3704,0.456,1.57575,327,425,470,450,214,441,360.355129074245,446.912472390172,347.516687841937,0,NA,NA,"7295",""
7301,8.08795,10.138,2.6784,8.3655,2.18125,9.28695,102,140,252,246,80,179,140.504287565311,193.714860307806,134.597590106161,0,NA,NA,"7301",""
7302,3.6672,12.5112,2.1004,6.0258,1.0658,5.8464,176,300,387,317,63,252,175.072482581474,307.768019054633,164.913360991578,0,NA,NA,"7302",""
7303,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"7303",""
7304,5.412,5.588325,1.87775,5.589625,1.245,6.0816,199,271,329,309,182,278,250.19504439283,295.927823173866,245.133355909104,0,NA,NA,"7304",""
7305,3.6743,2.8055,2.44346666666667,3.2512,1.21906666666667,2.6724,336,274,383,410,280,206,299.541460234088,296.196725888745,328.953899042906,0,NA,NA,"7305",""
7311,4.773,12.5286,1.764,10.7221,2.31805,5.20825,38,129,349,338,59,293,101.337047920204,236.677097090624,89.5945027561731,0,NA,NA,"7311",""
7312,7.530125,8.8976,0.8671,11.8818,2.3064,4.756675,29,130,268,348,106,416,101.191361861988,240.753979548501,87.8803858544412,0,NA,NA,"7312",""
7313,9.401625,17.30715,4.246,10.070375,1.669675,5.851725,47,200,201,313,32,80,78.3367791452137,157.133805128271,77.8250132236304,0,NA,NA,"7313",""
7314,0.735,4.12,1.991,10.78,2.8012,0.3094,37,87,467,476,219,264,119.446595599815,206.500539251859,107.623931709104,0,NA,NA,"7314",""
7315,7.9442,14.735,4.8138,4.9585,0.4477,11.3533,246,426,256,193,45,64,114.155383738652,149.408572599805,134.497820613294,0,NA,NA,"7315",""
7316,6.95,11.8802,0.3422,6.1875,3.0456,10.744,168.5,75.5,289.5,206.5,72.5,462.5,139.54735269957,170.277901760807,122.433006781995,0,NA,NA,"7316",""
7318,13.572,13.1472,3.8556,15.0165,5.6394,11.52,12,31,85,189,55,97,39.1835797398714,68.5575448802169,34.9842923129679,0,NA,NA,"7318",""
7321,7.29388,7.765688,1.8634,6.705468,2.096664,7.225776,145,151,278,285,127,280,188.204507194465,232.309634180427,176.544350599508,0,NA,NA,"7321",""
7322,2.3316,2.0943,0.6204,6.7721,0.4356,2.0706,142,429.5,427,429,327,436,310.638959318645,431.348703342238,293.656470869283,0,NA,NA,"7322",""
7331,10.416,15.4328,2.4249,8.1125,1.2948,4.4544,108,262,171,351,39,212,116.899152815607,233.209232202624,107.223759288886,0,NA,NA,"7331",""
7332,8.4366,5.819,1.0488,13.332,1.5416,8.1355,20,222,243,262,171,389,87.742323384955,267.575540122112,75.9671206261832,0,NA,NA,"7332",""
7333,12.20406,10.749936,4.971156,11.68254,4.85376,10.959912,31,36,128,202,79,59,59.9270447841737,70.9575400062066,59.9124750256864,0,NA,NA,"7333",""
7334,9.90285,12.1662,2.00445,9.81825,1.8522,8.452475,55,177,184,257,70,261,118.441789954081,213.719215414877,106.744087555285,0,NA,NA,"7334",""
7335,8.99,8.86355,3.93515,6.2419,1.5264,6.8145,165,227,208,292,107,94,156.277289005712,173.085701499217,179.423827372962,0,NA,NA,"7335",""
7361,5.4636,2.448,6.547975,2.7225,0.444375,2.601675,370,427,327,411,304,45,168.892052619701,135.356717801112,362.673107389567,0,NA,NA,"7361",""
7362,2.9232,2.8497,2.5338,2.8424,0.2352,2.3184,364.5,457.5,406.5,418.5,275.5,196.5,325.473000919951,331.068434099145,373.931928551925,0,NA,NA,"7362",""
7371,1.7773875,7.367,1.77815,8.3868125,0.9578125,2.44305,101,319,438,414,135,291,211.311779010151,355.960546377119,200.24505487334,0,NA,NA,"7371",""
7372,2.639,6.6306,2.5856,2.6988,1.0934,0.253,373.5,293.5,416.5,478.5,151.5,191.5,269.073857991913,306.018474924937,292.330902133885,0,NA,NA,"7372",""
7373,2.639,6.6306,2.5856,2.6988,1.0934,0.253,373.5,293.5,416.5,478.5,151.5,191.5,269.073857991913,306.018474924937,292.330902133885,0,NA,NA,"7373",""
7381,5.592,4.839375,0.522,5.6876,0.871875,6.52335,195,332,322,297,206,449,277.650985805437,342.556520478955,257.896246330116,0,NA,NA,"7381",""
7384,7.2325,6.0656,2.727,11.49,3.2926,9.7485,32,63,280,230,168,176,91.7674912935806,137.16273066969,83.7059458078757,0,NA,NA,"7384",""
7441,3.904572,7.51344,3.339556,6.67644,1.301832,3.935232,148,260,372,378,131,128,192.369286513833,236.646578121687,213.328125431556,0,NA,NA,"7441",""
7442,8.9518,7.847,5.4531,8.339,4.5901,5.4144,103,42,210,332,124,53,89.3760791099297,80.7808732095928,102.852007877694,0,NA,NA,"7442",""
7444,7.7872,3.2375,2.786,3.6075,0.2775,4.8238,319,449,265,346,257,170,276.339948943827,271.897645372243,315.170397587677,0,NA,NA,"7444",""
7451,3.70305,3.8415,1.13245,2.49795,0.3856,10.1935,382,439,382,221,229,381,316.375750817066,333.166780988612,305.866707351111,0,NA,NA,"7451",""
7452,6.11441666666667,6.10273611111111,1.72180555555556,3.61267777777778,0.640616666666667,7.80685,318,389,305,266,165,297,271.591623536304,309.283943046114,266.861833098546,0,NA,NA,"7452",""
7511,1.7871,0.999,3.2376,3.8843,0.52,2.8152,295,412,437,403,402,135,294.227705720828,275.243222920969,383.452402674171,0,NA,NA,"7511",""
7512,3.21177777777778,1.47824444444444,4.3152,1.39414444444444,0.595777777777778,0.888022222222222,445,393,400,469,362,78,241.792188094008,201.839524303798,411.303622876388,0,NA,NA,"7512",""
7513,0.1808,0.0936,0.899,2.552,0.1417,1.2166,380,465,479,458,480,411,443.171924564883,452.740164273365,449.981038638705,0,NA,NA,"7513",""
7514,1.0792,0.1512,0.325,4.0257,0.5952,2.002,283,395,451,433,477,464,405.254695143776,435.145529260456,395.101801559511,0,NA,NA,"7514",""
7521,2.876148,7.382524,1.507528,5.902596,1.085616,1.855604,188,296,409,438,133,325,250.992375683711,358.698817419231,239.950582349159,0,NA,NA,"7521",""
7522,2.06205,3.34835,3.0429,4.708675,1.2259,1.4306,256,272,432,454,254,151,265.9357421316,271.200744423053,312.834461214206,0,NA,NA,"7522",""
7531,2.8365,4.99875,3.1671,6.069,1.6458,3.2973,172,205,411,393,202,139,216.849676693934,235.814551944548,243.592545824932,0,NA,NA,"7531",""
7532,5.2819,12.6252,4.5353,3.9694,0.162,1.1592,288,462,332,462,58,70,143.483946918461,186.853331512601,180.297015339345,0,NA,NA,"7532",""
7533,7.69404,5.256352,7.51104,5.345308,1.50416,4.474416,214,232,267,350,196,32,117.872340944139,97.1458030482534,242.724378634647,0,NA,NA,"7533",""
7534,9.6525,0.6579,0.87,1.3248,1.3031,17.766,450,259,191,40,427,414,148.485032697008,111.562413189599,131.584229504702,0,NA,NA,"7534",""
7535,7.5256,11.1354444444444,2.29986666666667,6.8541,2.65721111111111,6.1575,138,106,269,308,76,227,146.868159304693,193.501176275304,137.110257899767,0,NA,NA,"7535",""
7611,1.85569135802469,5.2701012345679,2.05422716049383,5.28111111111111,1.26501728395062,1.6722,221,267,436,447,195,257,276.060960120845,329.821159810962,279.980901120642,0,NA,NA,"7611",""
7612,3.70815,7.9032,2.8025,6.56565,0.92115,2.79825,154,323,381,404,121,168,208.776616975465,283.878879673625,219.089814160169,0,NA,NA,"7612",""
7621,0.7552,0.8296,1.9,2.5821,0.3978,1.1644,379,437,464,461,418,274,393.372402743728,390.834598102473,430.427483013745,0,NA,NA,"7621",""
7622,1.1039,5.4289,3.0989,0.16,0,0.16,478,477,450,480,186,146,290.890127947571,303.235486015609,361.69966727015,0,NA,NA,"7622",""
8211,6.5754,7.0782,2.3316,8.959,1.314225,6.7482,83,255,295,293,141,221,175.759749366557,263.322585220557,168.730782110376,0,NA,NA,"8211",""
8221,3.6672,12.5112,2.1004,6.0258,1.0658,5.8464,176,300,387,317,63,252,175.072482581474,307.768019054633,164.913360991578,0,NA,NA,"8221",""
8222,3.6672,12.5112,2.1004,6.0258,1.0658,5.8464,176,300,387,317,63,252,175.072482581474,307.768019054633,164.913360991578,0,NA,NA,"8222",""
8231,3.03920740740741,7.18475679012346,2.42994444444444,6.89218518518519,1.31388888888889,2.15620740740741,137,256,404,423,137,211,214.83498821396,297.715227264678,215.411108926189,0,NA,NA,"8231",""
8232,4.83,7.168,1.5015,5.451,0.42,5.72,212,435,342,323,138,327,258.24989620569,352.602156209701,247.714463556648,0,NA,NA,"8232",""
8241,0.715,3.1396,0.7535,3.6285,0.6912,2.5025,315,372,469,413,263,428,363.470670794384,418.625222644292,352.695880825127,0,NA,NA,"8241",""
8252,5.51045,5.72651875,2.2288,9.3529375,2.8946125,7.7614625,62,83,326,269,176,239,135.26927827288,175.183226595094,124.41121468542,0,NA,NA,"8252",""
8255,4.67273333333333,5.25093333333333,1.57972222222222,9.49324444444445,3.53966666666667,6.44688888888889,59,58,354,298,197,319,125.123279605424,152.464964606319,111.538160305889,0,NA,NA,"8255",""
8261,8.9072,5.7311,6.5754,6.9969,2.4528,3.6869,132,119,214,383,174,42,115.212772319925,102.974742750234,173.48012459689,0,NA,NA,"8261",""
8262,8.9072,5.7311,6.5754,6.9969,2.4528,3.6869,132,119,214,383,174,42,115.212772319925,102.974742750234,173.48012459689,0,NA,NA,"8262",""
8411,3.851925,5.7173875,1.73656875,4.8884875,0.7141875,3.551025,249,366,373,390,177,296,286.517652780617,353.25888434269,284.509352564628,0,NA,NA,"8411",""
8412,7.839125,6.6303,1.6154,9.454,2.40195,7.8012,61,124,259,267,153,314,145.016370823009,213.309439213826,130.889929410949,0,NA,NA,"8412",""
8421,0.3872,2.5668,0.2124,4.6762,0.8911,0.2553,257,329,477,477,295,477,362.301315598097,429.809264305177,345.572334642518,0,NA,NA,"8421",""
8422,10.1738,6.4961,3.6686,12.4218,3.0942,6.3433,25,73,177,302,157,105,78.2713146431142,125.526492083278,74.3798873000505,0,NA,NA,"8422",""
8431,0.7979625,1.32178125,0.9871875,2.2207625,0.9864,2.1418875,399,313,463,425,381,401,392.344909656326,393.125577393159,390.469279719946,0,NA,NA,"8431",""
8432,1.4329,1.7402,0.852,3.5705,2.926,2.0757,321,81,448,428,347,418,238.862214240553,208.987173441867,219.949904557942,0,NA,NA,"8432",""
8441,8.9072,5.7311,6.5754,6.9969,2.4528,3.6869,132,119,214,383,174,42,115.212772319925,102.974742750234,173.48012459689,0,NA,NA,"8441",""
8442,0.9648,4.18,0.9114,10.6182,0.9504,1.5423,40,320,460,451,217.5,408,154.206989140474,402.340035797767,137.12246767565,0,NA,NA,"8442",""
8611,0.2825,0.5705,0.1808,6.8085,0.546,0.923,139,403,478,467.5,431,478,328.897663308336,455.317186781012,309.500286989401,0,NA,NA,"8611",""
8612,1.90003333333333,3.7752,1.14188888888889,4.58251111111111,0.595466666666667,2.1411,261,394,435,426,233,380,335.530798937227,408.504414763107,327.708928511733,0,NA,NA,"8612",""
8613,1.566,3.23,0.9135,1.022,0.378,2.0068,460,443,444,432,258,407,392.410936367144,431.970458575285,389.43499182381,0,NA,NA,"8613",""
8614,3.9879,7.8111,3.4804,1.4994,0.4318,2.2185,436,431,371,420,125,118,230.711707504064,253.459000692556,284.040536665954,0,NA,NA,"8614",""
8615,3.2017,8.492175,3.2333,3.9501,0.8362,4.17075,289,344,401,366,115,136,218.347411713503,259.568697859771,247.771615538512,0,NA,NA,"8615",""
9211,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9211",""
9212,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9212",""
9213,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9213",""
9214,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9214",""
9215,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9215",""
9217,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9217",""
9221,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9221",""
9222,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9222",""
9223,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9223",""
9224,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9224",""
9226,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9226",""
9227,8.6496,9.1932,1.312,9.1242,2.726,11.5598,74,95,232,182,97,352,128.912302560089,173.8687883959,114.389231963681,0,NA,NA,"9227",""
9231,2.6128,7.0716,0.5031,6.8021,1.3392,3.57,140,250,419,388,142,451,237.780978747732,358.805549439677,217.193792204334,0,NA,NA,"9231",""
9232,8.42422222222222,8.30822222222222,3.73988888888889,10.4089333333333,2.81031111111111,9.31146666666667,43,86,245,244,118,100,98.8915080312341,135.400830556279,98.4803298439916,0,NA,NA,"9232",""
9235,4.6008,5.03254444444444,1.2725,3.92137777777778,1.28263333333333,5.06666666666667,291,264,356,342,200,368,291.262612949545,327.863898243246,279.486696681064,0,NA,NA,"9235",""
9241,7.44557037037037,7.67389506172839,2.51549135802469,9.16245679012346,3.19633827160494,7.64134074074074,67,67,272,271,129,198,121.288882918342,147.762421284989,112.50227258954,0,NA,NA,"9241",""
9243,7.0209,5.784,2.4125,6.4625,4.73,4.3966,158,37,287,355,172,215,121.713025423172,107.449962308555,111.940326600655,0,NA,NA,"9243",""
9411,4.35965,5.5055,1.4,8.44365,2.2568,5.14855,99,132,362,341,185,337,190.279758308912,247.583363256141,174.984627282631,0,NA,NA,"9411",""
9412,2.0943,7.733725,0.3224,5.782425,1.856025,2.75995,190,175,430,407,128,465,234.499147014697,317.487859894872,213.305809329503,0,NA,NA,"9412",""
9413,3.83022222222222,5.38291111111111,0.508133333333333,5.2762,1.18112222222222,4.87322222222222,222,278,375,345,191,450,285.118111408104,352.383410450292,265.581457837764,0,NA,NA,"9413",""
9414,3.84605,5.17435,0.864847222222222,6.63457777777778,1.39935,4.24629166666667,151,242,374,364,198,417,255.123338780767,335.740493935808,236.678637242057,0,NA,NA,"9414",""
9415,5.904,3.5322,1.0281,3.0544,2.175,7.6,355,144,311,275,244,397,259.425214588031,246.344385590416,242.536076518572,0,NA,NA,"9415",""
9416,6.11851388888889,7.63972916666667,0.967398611111111,7.07273333333333,3.85725,6.05851111111111,126,53,304,310,130,403,139.54951309961,145.518633705146,123.395108835863,0,NA,NA,"9416",""
9417,3.098675,7.943,0.607425,9.286875,8.89515,9.3176,64,14,402,242,120,438,60.4898070759147,52.9512463809958,51.593005886163,0,NA,NA,"9417",""
9418,2.4768,1.5974,0.2684,8.5039,3.0494,1.9089,96,74,424,436,354,475,180.714051141813,199.248391577132,160.767652482562,0,NA,NA,"9418",""
9421,10.1308,6.8224,2.36985,9.994725,2.632,13.78465,48,107.5,178,120,148,217,109.540276215777,144.640347509295,99.626961762375,0,NA,NA,"9421",""
9422,5.88958125,6.862672265625,0.9372,7.01491875,3.5529328125,6.16178125,129,56,315,306,147,405,146.778705587958,151.35004358882,130.158134152811,0,NA,NA,"9422",""
9423,4.2185625,5.41085625,1.0580625,4.99491875,1.6867,4.4319,235,197,363,352,188,386,263.818694121219,302.695542038546,248.029253626222,0,NA,NA,"9423",""
9431,4.446,5.104,1.0368,5.535,1.2814,5.3295,202,265,359,335,199,391,272.845147625827,331.554346482008,257.208590661712,0,NA,NA,"9431",""
9432,7.2192,4.6866,1.5662,6.1244,0.5418,6.412,170,404,281,299,209,320,260.036417553506,320.928556093699,250.520752416736,0,NA,NA,"9432",""
9433,4.8111,6.0928,0.7632,3.915,1.5824,5.643,292.5,218.5,345.5,325.5,166.5,425.5,269.947198888621,311.30186325058,251.484981626675,0,NA,NA,"9433",""
9434,5.10625,5.52475,0.52705,4.80705,0.99385,3.90705,252,310,336,380,184,448,294.22421510375,362.49494803751,275.247949023069,0,NA,NA,"9434",""
9435,4.8111,6.0928,0.7632,3.915,1.5824,5.643,292.5,218.5,345.5,325.5,166.5,425.5,269.947198888621,311.30186325058,251.484981626675,0,NA,NA,"9435",""
9436,3.605,1.9177,1.4628,4.4884,0.6864,6.9423,262,383,393,290,335,331,326.633999464477,345.103906077022,325.581547201442,0,NA,NA,"9436",""
9437,3.655,5.7054,0.161,4.2849,1.3529,4.06505,272,246,391,368,178,479,290.661627877497,351.093890665841,269.407781700687,0,NA,NA,"9437",""
9441,3.604832,2.892792,1.875164,4.728416,1.704,3.799168,254,191,394,381,271,279,278.716539766245,287.166352189012,278.461258372129,0,NA,NA,"9441",""
9442,1.6471,1.3072,0.5289,4.1904,3.5397,1.5322,278,57,440,452,382,447,199.045927549689,167.024367566625,179.1366432376,0,NA,NA,"9442",""
9445,6.1335,2.831,1.292,4.2025,0.7696,5.1948,276,354,303,339,278,363,315.970042174603,339.132375128798,307.845960579358,0,NA,NA,"9445",""
9446,3.37115,2.874625,0.96425,2.29225,0.4851,1.61355,393,418,397,448,273,404,380.150780387704,416.861855560173,375.542416934793,0,NA,NA,"9446",""
9447,5.904,3.5322,1.0281,3.0544,2.175,7.6,355,144,311,275,244,397,259.425214588031,246.344385590416,242.536076518572,0,NA,NA,"9447",""
9461,5.047,2.7462,0.48825,5.4811,1.39201875,4.40529375,209,243,338,354,288,454,295.78463789664,331.594760742968,276.438174571952,0,NA,NA,"9461",""
9462,1.56903333333333,1.6165,0.619188888888889,4.27728888888889,1.09262222222222,1.29591111111111,274,295,443,456,353,437,362.250112494958,395.964352664027,350.13915293075,0,NA,NA,"9462",""
9463,4.6072125,3.42225,0.75375,5.32245,2.064375,3.94261875,215,155,355,377,253,427,263.529680542556,281.666409102571,244.721536050785,0,NA,NA,"9463",""
9465,5.904,3.5322,1.0281,3.0544,2.175,7.6,355,144,311,275,244,397,259.425214588031,246.344385590416,242.536076518572,0,NA,NA,"9465",""
9471,16.2272,2.8044,2.6499,8.85,0.8352,13.524,87.5,345.5,45.5,128.5,281.5,183.5,114.563505277112,106.571629916187,106.490273362675,0,NA,NA,"9471",""
9472,20.4109,3.1752,2.4723,8.052,2.6999,11.72,110,103,16,173,260,201,65.2337265761492,50.5455536314308,57.4537858051907,0,NA,NA,"9472",""
9473,3.3835,1.81365,0.44375,5.7687,2.0915,2.0202,191,152,395,430,344,457,276.859066799798,294.881042776705,256.56459105733,0,NA,NA,"9473",""
9474,10.334625,2.5317,1.307625,5.312925,0.8967,9.82355,217,327.5,173,229,296,359,251.350699357771,251.305684885109,237.042634648362,0,NA,NA,"9474",""
9521,3.81593333333333,5.56424444444444,2.92348888888889,6.36081111111111,1.2782,4.01526666666667,160,266,376,371,183,155,221.05774380103,258.126688036397,241.173379625804,0,NA,NA,"9521",""
9522,5.57375,4.50425,0.828,5.288775,1.74585,6.5723,219.5,188.5,323.5,295.5,211.5,421.5,257.077296346862,283.723073804335,238.408347948685,0,NA,NA,"9522",""
9523,7.05716666666667,3.6068,0.8388,8.04511111111111,4.5784,7.12415555555555,111,43,286,289,237,420,132.845000543846,124.862783374986,116.849400146812,0,NA,NA,"9523",""
9524,4.8204,2.6598,0.558875,6.9888,4.609275,5.0246,134,39,344,343,291,442,136.6900498616,120.981655513931,120.083792326614,0,NA,NA,"9524",""
9525,4.7508,4.49113333333333,1.35543333333333,6.0188,1.25871111111111,5.488,180,268,351,329,213,340,264.096193362346,319.457291645883,252.698270246394,0,NA,NA,"9525",""
9526,5.57375,4.50425,0.828,5.288775,1.74585,6.5723,219.5,188.5,323.5,295.5,211.5,421.5,257.077296346862,283.723073804335,238.408347948685,0,NA,NA,"9526",""
9527,5.904,3.5322,1.0281,3.0544,2.175,7.6,355,144,311,275,244,397,259.425214588031,246.344385590416,242.536076518572,0,NA,NA,"9527",""
9531,3.731,6.57705,2.881425,6.969575,1.43895,4.03375,136,237,380,370,155,162,204.316066670085,255.481030906132,215.226899723033,0,NA,NA,"9531",""
9532,5.904,3.5322,1.0281,3.0544,2.175,7.6,355,144,311,275,244,397,259.425214588031,246.344385590416,242.536076518572,0,NA,NA,"9532",""
9534,0.1744,1.1925,0.0618,4.3571,0.0204,2.1875,266,471,480,421,390,480,401.359818266522,462.624750417078,388.495030398139,0,NA,NA,"9534",""
9535,5.904,3.5322,1.0281,3.0544,2.175,7.6,355,144,311,275,244,397,259.425214588031,246.344385590416,242.536076518572,0,NA,NA,"9535",""
9536,2.511,1.7576,1.6608,5.52,1.64,3.366,203,206,423,392,346,307,288.954760426731,308.150006469712,285.424899651382,0,NA,NA,"9536",""
9537,4.82715555555556,5.36444444444444,1.30371111111111,2.44548888888889,0.9284,5.4325,384,322,343,331,193,360,307.107621330798,339.412111717776,298.20406111888,0,NA,NA,"9537",""
9611,1.0434,1.47,0.3025,3.6337,1.9436,4.329,311,166,456,360,366,469,315.725094313964,305.951901793488,296.274969634198,0,NA,NA,"9611",""
9612,2.01885,1.65825,1.0366,3.1428,1.9722,3.230325,347,158,433,396,348,392,309.345811461005,292.892739658593,296.714068641509,0,NA,NA,"9612",""
9613,1.0434,1.47,0.3025,3.6337,1.9436,4.329,311,166,456,360,366,469,315.725094313964,305.951901793488,296.274969634198,0,NA,NA,"9613",""
9614,1.0434,1.47,0.3025,3.6337,1.9436,4.329,311,166,456,360,366,469,315.725094313964,305.951901793488,296.274969634198,0,NA,NA,"9614",""
9615,1.0434,1.47,0.3025,3.6337,1.9436,4.329,311,166,456,360,366,469,315.725094313964,305.951901793488,296.274969634198,0,NA,NA,"9615",""
9616,1.0434,1.47,0.3025,3.6337,1.9436,4.329,311,166,456,360,366,469,315.725094313964,305.951901793488,296.274969634198,0,NA,NA,"9616",""
9617,1.0434,1.47,0.3025,3.6337,1.9436,4.329,311,166,456,360,366,469,315.725094313964,305.951901793488,296.274969634198,0,NA,NA,"9617",""
9618,1.0434,1.47,0.3025,3.6337,1.9436,4.329,311,166,456,360,366,469,315.725094313964,305.951901793488,296.274969634198,0,NA,NA,"9618",""
9619,2.22142222222222,3.99066666666667,1.6765,4.01388888888889,1.69532222222222,2.88383333333333,285,196,428,400,223,304,283.816931893207,303.49938032333,279.928573831237,0,NA,NA,"9619",""
